,Date,SPXL,VOO,Total,VOO_75%+Spxl_25%,Stock,Remainder,Have_voo,Have_spxl,Voo_%,Spxl_%,Voo_100%,Spxl_100%
0,2011-01-01,5.692715644836426,91.60609436035156,10000.0,10001.106169700623,9998.893830299377,1.1061697006225586,7420.093643188477,2578.800187110901,0.742,0.258,10000.0,10000.0
1,2011-01-02,5.692715644836426,91.60609436035156,10000.0,10001.106169700623,9998.893830299377,1.1061697006225586,7420.093643188477,2578.800187110901,0.742,0.258,10000.0,10000.0
2,2011-01-03,5.692715644836426,91.60609436035156,10000.0,10001.106169700623,9998.893830299377,1.1061697006225586,7420.093643188477,2578.800187110901,0.742,0.258,10000.0,10000.0
3,2011-01-04,5.664843559265137,91.52728271484375,9980.990201950073,9982.096371650696,9979.88403224945,1.1061697006225586,7413.709899902344,2566.174132347107,0.743,0.257,9991.396680967775,9951.039034249725
4,2011-01-05,5.7523298263549805,92.01594543457031,10060.203161239624,10061.309330940247,10059.096991539001,1.1061697006225586,7453.291580200195,2605.805411338806,0.741,0.259,10044.740590359252,10104.720111169838
5,2011-01-06,5.722909450531006,91.85833740234375,10034.109480381012,10035.215650081635,10033.00331068039,1.1061697006225586,7440.525329589844,2592.4779810905457,0.742,0.258,10027.535617990648,10053.039370975726
6,2011-01-07,5.695038318634033,91.66915130615234,10006.15978384018,10007.265953540802,10005.053614139557,1.1061697006225586,7425.20125579834,2579.852358341217,0.742,0.258,10006.883488073701,10004.080080479189
7,2011-01-08,5.690393129984538,91.6428705851237,10001.926774978638,10003.03294467926,10000.820605278015,1.1061697006225586,7423.0725173950195,2577.7480878829956,0.742,0.258,10004.014604599066,9995.920198729767
8,2011-01-09,5.685747941335042,91.61658986409505,9997.693766117096,9998.799935817719,9996.587596416473,1.1061697006225586,7420.943778991699,2575.643817424774,0.742,0.258,10001.145721124427,9987.760316980342
9,2011-01-10,5.681102752685547,91.5903091430664,9993.460757255554,9994.566926956177,9992.354587554932,1.1061697006225586,7418.815040588379,2573.5395469665527,0.742,0.258,9998.27683764979,9979.600435230921
10,2011-01-11,5.744586944580078,91.88985443115234,10046.482264518738,10047.58843421936,10045.376094818115,1.1061697006225586,7443.07820892334,2602.2978858947754,0.741,0.259,10030.976112755616,10091.118726070048
11,2011-01-12,5.904073238372803,92.70956420898438,10185.126047611237,10187.98782491684,10182.264270305634,2.8617773056030273,7602.184265136719,2580.080005168915,0.746,0.253,10120.458126322043,10371.277272083824
12,2011-01-13,5.878523826599121,92.58348083496094,10163.622117996216,10166.483895301819,10160.760340690613,2.8617773056030273,7591.845428466797,2568.914912223816,0.747,0.253,10106.694481566326,10326.396386812738
13,2011-01-14,5.986912727355957,93.24555206298828,10265.277908325195,10268.139685630798,10262.416131019592,2.8617773056030273,7646.135269165039,2616.280861854553,0.745,0.255,10178.968191372462,10516.795675164949
14,2011-01-15,6.000461220741272,93.28496551513672,10274.43050301075,10277.292280316353,10271.568725705147,2.8617773056030273,7649.367172241211,2622.201553463936,0.745,0.255,10183.270683736497,10540.59537680226
15,2011-01-16,6.014009714126587,93.32437896728516,10283.583097696304,10286.444875001907,10280.721320390701,2.8617773056030273,7652.599075317383,2628.1222450733185,0.744,0.256,10187.573176100528,10564.395078439567
16,2011-01-17,6.027558207511902,93.3637924194336,10292.735692381859,10295.597469687462,10289.873915076256,2.8617773056030273,7655.830978393555,2634.042936682701,0.744,0.256,10191.875668464563,10588.194780076878
17,2011-01-18,6.041106700897217,93.40320587158203,10301.888287067413,10304.750064373016,10299.02650976181,2.8617773056030273,7659.062881469727,2639.9636282920837,0.743,0.256,10196.178160828596,10611.994481714186
18,2011-01-19,5.8467817306518555,92.47312927246094,10140.70199394226,10143.563771247864,10137.840216636658,2.8617773056030273,7582.796600341797,2555.043616294861,0.748,0.252,10094.648169225371,10270.637241393175
19,2011-01-20,5.809620380401611,92.3627700805664,10115.413030147552,10118.274807453156,10112.55125284195,2.8617773056030273,7573.747146606445,2538.804106235504,0.749,0.251,10082.60102403649,10205.358466606749
20,2011-01-21,5.847556114196777,92.56771850585938,10148.796716690063,10151.658493995667,10145.93493938446,2.8617773056030273,7590.552917480469,2555.3820219039917,0.748,0.252,10104.973817759881,10271.997547428526
21,2011-01-22,5.880588531494141,92.7568868001302,10178.743683179218,10181.605460484821,10175.881905873615,2.8617773056030273,7606.064717610677,2569.8171882629395,0.747,0.252,10125.62400436501,10330.023311155765
22,2011-01-23,5.913620948791504,92.94605509440105,10208.690649668377,10211.55242697398,10205.828872362774,2.8617773056030273,7621.576517740886,2584.252354621887,0.747,0.253,10146.274190970142,10388.049074883003
23,2011-01-24,5.946653366088867,93.13522338867188,10238.637616157532,10241.499393463135,10235.775838851929,2.8617773056030273,7637.088317871094,2598.687520980835,0.746,0.254,10166.924377575271,10446.074838610242
24,2011-01-25,5.950525283813477,93.10370635986328,10237.745247840881,10240.607025146484,10234.883470535278,2.8617773056030273,7634.503921508789,2600.3795490264893,0.746,0.254,10163.483882810302,10452.876368787007
